,,,,,sum,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,faulty source,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,,
bithacks,31,controlled_md,31,31,31,0,0,0,31,0,62
bithacks,32,controlled_md,32,32,32,0,0,0,0,0,32
bithacks,34,via_description,34,34,34,0,0,0,0,0,34
bithacks,37,LIT,37,37,37,0,0,0,0,0,37
bithacks,39,controlled,39,39,39,0,0,0,0,0,39
bithacks,41,controlled_md,41,41,41,0,0,0,0,0,41
bithacks,44,controlled_md,44,44,44,0,0,0,0,0,44
bithacks,46,controlled,46,46,46,0,0,0,0,0,46
bithacks,48,controlled_md,48,48,48,0,0,0,0,0,48
codenet,14,LIT,14,14,0,14,0,0,0,0,14
codenet,16,LIT,16,16,0,32,0,0,0,0,32
codenet,16,controlled,16,16,0,64,0,0,0,0,64
codenet,16,controlled_md,16,16,0,128,0,0,0,0,128
codenet,16,via_description,16,16,0,32,0,0,0,0,32
codenet,24,LIT,24,24,0,0,0,0,0,48,48
codenet,24,controlled,24,24,0,0,0,0,0,72,72
codenet,24,controlled_md,24,24,0,0,0,0,0,168,168
codenet,24,via_description,24,24,0,0,0,0,0,48,48
codenet,25,controlled,25,25,0,0,0,0,0,25,25
codenet,32,controlled_md,32,32,0,0,0,0,0,32,32
codenet,131,controlled_md,131,131,0,0,0,0,131,0,131
codenet,142,LIT,142,142,0,0,0,0,0,142,142
codenet,156,controlled_md,156,156,0,0,156,0,0,0,156
codenet,160,LIT,160,160,0,0,160,0,0,0,160
codenet,162,via_description,162,162,0,0,0,0,162,0,162
codenet,167,controlled_md,167,167,0,0,167,0,0,0,167
codenet,206,controlled,206,206,0,0,0,0,206,0,206
codenet,210,controlled,210,210,0,0,210,0,0,0,210
codenet,213,controlled_md,213,213,0,0,0,213,0,0,213
codenet,221,LIT,221,221,0,0,0,0,221,0,221
codenet,229,LIT,229,229,0,0,0,229,0,0,229
codenet,239,controlled,239,239,0,0,0,0,239,0,239
codenet,241,controlled_md,241,241,0,0,241,0,0,0,241
codenet,251,LIT,251,251,0,0,251,0,0,0,251
codenet,254,controlled_md,254,254,0,0,0,0,254,0,254
codenet,261,LIT,261,261,0,0,261,0,0,0,261
codenet,265,controlled,265,265,0,0,0,265,0,0,265
codenet,266,controlled_md,266,266,266,0,0,0,0,0,266
codenet,267,controlled,267,267,0,0,267,0,0,0,267
codenet,270,controlled,270,270,0,0,0,270,0,0,270
codenet,273,controlled_md,273,273,0,0,273,0,0,0,273
codenet,280,controlled_md,280,280,0,0,280,0,0,0,280
codenet,286,controlled,286,286,0,0,286,0,0,0,286
codenet,300,controlled_md,300,300,0,0,0,0,300,0,300
codenet,304,controlled_md,304,304,0,0,304,0,0,0,304
codenet,310,controlled,310,310,0,0,310,0,0,0,310
codenet,314,controlled_md,314,314,0,0,0,314,0,0,314
codenet,315,controlled,315,315,0,0,0,315,0,0,315
codenet,320,LIT,320,320,0,0,0,320,0,0,320
codenet,330,controlled_md,330,330,0,0,330,0,0,0,330
codenet,353,controlled_md,353,353,0,0,353,0,0,0,353
codenet,356,controlled_md,356,356,0,0,0,356,0,0,356
codenet,374,via_description,374,374,0,0,0,0,374,0,374
codenet,380,LIT,380,380,0,0,0,380,0,0,380
codenet,387,controlled_md,387,387,0,0,0,387,0,0,387
codenet,397,controlled_md,397,397,0,0,0,397,0,0,397
codenet,404,controlled_md,404,404,0,0,0,404,0,0,404
codenet,406,controlled,406,406,0,0,0,406,0,0,406
codenet,454,via_description,454,454,0,0,0,454,0,0,454
codenet,458,LIT,458,458,0,0,0,0,458,0,458
codenet,477,controlled_md,477,477,0,0,0,477,0,0,477
codenet,483,via_description,483,483,0,0,483,0,0,0,483
codenet,487,via_description,487,487,0,0,0,487,0,0,487
codenet,491,controlled_md,491,491,0,0,0,491,0,0,491
codenet,528,controlled_md,528,528,0,0,0,0,528,0,528
codenet,534,LIT,534,534,0,0,0,0,534,0,534
codenet,616,controlled,616,616,0,0,0,0,616,0,616
codenet,631,via_description,631,631,0,0,631,0,0,0,631
codenet,640,controlled,640,640,0,0,0,0,640,0,640
codenet,642,controlled_md,642,642,0,0,0,0,642,0,642
codenet,654,controlled_md,654,654,0,0,0,0,654,0,654
codenet,769,controlled_md,769,769,0,0,0,0,769,0,769
codenet,841,controlled_md,841,841,841,0,0,0,0,0,841
codenet,868,via_description,868,868,868,0,0,0,0,0,868
codenet,921,LIT,921,921,921,0,0,0,0,0,921
codenet,991,controlled_md,991,991,991,0,0,0,0,0,991
codenet,1028,controlled,1028,1028,1028,0,0,0,0,0,1028
codenet,1046,controlled_md,1046,1046,1046,0,0,0,0,0,1046
codenet,1183,controlled,1183,1183,1183,0,0,0,0,0,1183
codenet,1261,LIT,1261,1261,1261,0,0,0,0,0,1261
codenet,1261,via_description,1261,1261,1261,0,0,0,0,0,1261
codenet,1270,controlled_md,1270,1270,1270,0,0,0,0,0,1270
codenet,1376,controlled_md,1376,1376,1376,0,0,0,0,0,1376
codenet,1447,controlled_md,1447,1447,0,0,0,0,1447,0,1447
codenet,1520,controlled,1520,1520,1520,0,0,0,0,0,1520
codenet,1551,controlled_md,1551,1551,1551,0,0,0,0,0,1551
codenet,1568,LIT,1568,1568,1568,0,0,0,0,0,1568
codenet,1663,controlled_md,1663,1663,1663,0,0,0,0,0,1663
codenet,1678,controlled,1678,1678,1678,0,0,0,0,0,1678
All,,,,,38435,3834,8872,10524,11974,535,74174
