,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
codenet,llamafile_dolphin-2.6-phi-2,99,99,99,0,0,0,0,99,99
codenet,llamafile_dolphin-2.6-phi-2,100,100,100,0,0,0,100,0,100
codenet,llamafile_dolphin-2.6-phi-2,180,180,180,0,0,180,0,0,180
codenet,llamafile_dolphin-2.6-phi-2,323,323,323,0,323,0,0,0,323
codenet,llamafile_dolphin-2.6-phi-2,1698,1698,1698,1698,0,0,0,0,1698
codenet,llamafile_dolphin-2.7-mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.7-mixtral,272,272,272,0,272,0,0,0,272
codenet,llamafile_dolphin-2.7-mixtral,479,479,479,0,0,479,0,0,479
codenet,llamafile_dolphin-2.7-mixtral,758,758,758,0,0,0,758,0,758
codenet,llamafile_dolphin-2.7-mixtral,855,855,855,855,0,0,0,0,855
codenet,llamafile_mistral,36,36,36,0,0,0,0,36,36
codenet,llamafile_mistral,237,237,237,0,237,0,0,0,237
codenet,llamafile_mistral,239,239,239,0,0,0,239,0,239
codenet,llamafile_mistral,316,316,316,0,0,316,0,0,316
codenet,llamafile_mistral,1572,1572,1572,1572,0,0,0,0,1572
codenet,llamafile_mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_mixtral,303,303,303,0,303,0,0,0,303
codenet,llamafile_mixtral,354,354,354,0,0,354,0,0,354
codenet,llamafile_mixtral,634,634,634,0,0,0,634,0,634
codenet,llamafile_mixtral,1073,1073,1073,1073,0,0,0,0,1073
codenet,llamafile_phi3,36,36,36,0,0,0,0,36,36
codenet,llamafile_phi3,280,280,280,0,280,0,0,0,280
codenet,llamafile_phi3,288,288,288,0,0,0,288,0,288
codenet,llamafile_phi3,403,403,403,0,0,403,0,0,403
codenet,llamafile_phi3,1393,1393,1393,1393,0,0,0,0,1393
codenet,ollama_llama3-8b,47,47,47,0,0,0,0,47,47
codenet,ollama_llama3-8b,167,167,167,0,167,0,0,0,167
codenet,ollama_llama3-8b,392,392,392,0,0,392,0,0,392
codenet,ollama_llama3-8b,518,518,518,0,0,0,518,0,518
codenet,ollama_llama3-8b,1276,1276,1276,1276,0,0,0,0,1276
All,,,,,18416,4122,5456,6942,680,35616
