,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
codenet,llamafile_dolphin-2.6-phi-2,71,71,71,0,0,0,71,0,71
codenet,llamafile_dolphin-2.6-phi-2,98,98,98,0,0,0,0,98,98
codenet,llamafile_dolphin-2.6-phi-2,106,106,106,0,0,106,0,0,106
codenet,llamafile_dolphin-2.6-phi-2,207,207,207,0,207,0,0,0,207
codenet,llamafile_dolphin-2.6-phi-2,1918,1918,1918,1918,0,0,0,0,1918
codenet,llamafile_dolphin-2.7-mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.7-mixtral,246,246,246,0,246,0,0,0,246
codenet,llamafile_dolphin-2.7-mixtral,419,419,419,0,0,419,0,0,419
codenet,llamafile_dolphin-2.7-mixtral,712,712,712,0,0,0,712,0,712
codenet,llamafile_dolphin-2.7-mixtral,987,987,987,987,0,0,0,0,987
codenet,llamafile_mistral,36,36,36,0,0,0,0,36,36
codenet,llamafile_mistral,130,130,130,0,0,0,130,0,130
codenet,llamafile_mistral,159,159,159,0,159,0,0,0,159
codenet,llamafile_mistral,192,192,192,0,0,192,0,0,192
codenet,llamafile_mistral,1883,1883,1883,1883,0,0,0,0,1883
codenet,llamafile_mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_mixtral,269,269,269,0,269,0,0,0,269
codenet,llamafile_mixtral,300,300,300,0,0,300,0,0,300
codenet,llamafile_mixtral,482,482,482,0,0,0,482,0,482
codenet,llamafile_mixtral,1313,1313,1313,1313,0,0,0,0,1313
codenet,llamafile_phi3,36,36,36,0,0,0,0,36,36
codenet,llamafile_phi3,280,280,280,0,280,0,0,0,280
codenet,llamafile_phi3,288,288,288,0,0,0,288,0,288
codenet,llamafile_phi3,403,403,403,0,0,403,0,0,403
codenet,llamafile_phi3,1393,1393,1393,1393,0,0,0,0,1393
codenet,ollama_llama3-8b,47,47,47,0,0,0,0,47,47
codenet,ollama_llama3-8b,100,100,100,0,100,0,0,0,100
codenet,ollama_llama3-8b,183,183,183,0,0,183,0,0,183
codenet,ollama_llama3-8b,357,357,357,0,0,0,357,0,357
codenet,ollama_llama3-8b,1713,1713,1713,1713,0,0,0,0,1713
All,,,,,22807,3208,4060,4866,675,35616
