,,,,,sum,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,faulty source,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,,
bithacks,llamafile_dolphin-2.6-mistral,6,6,6,0,0,6,0,0,0,6
bithacks,llamafile_dolphin-2.6-mistral,7,7,7,0,0,0,0,7,0,7
bithacks,llamafile_dolphin-2.6-mistral,8,8,8,0,0,16,0,0,0,16
bithacks,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.6-mistral,15,15,15,0,0,0,0,15,0,15
bithacks,llamafile_dolphin-2.6-mistral,19,19,19,0,0,19,0,0,0,19
bithacks,llamafile_dolphin-2.6-mistral,29,29,29,29,0,0,0,0,0,29
bithacks,llamafile_dolphin-2.6-mistral,31,31,31,62,0,0,0,0,0,62
bithacks,llamafile_dolphin-2.6-mistral,37,37,37,37,0,0,0,0,0,37
bithacks,llamafile_dolphin-2.6-phi-2,1,1,1,0,0,0,0,1,0,1
bithacks,llamafile_dolphin-2.6-phi-2,2,2,2,0,0,0,2,0,0,2
bithacks,llamafile_dolphin-2.6-phi-2,3,3,3,0,0,6,0,0,0,6
bithacks,llamafile_dolphin-2.6-phi-2,4,4,4,0,0,0,4,0,0,4
bithacks,llamafile_dolphin-2.6-phi-2,5,5,5,0,0,0,0,5,0,5
bithacks,llamafile_dolphin-2.6-phi-2,46,46,46,46,0,0,0,0,0,46
bithacks,llamafile_dolphin-2.6-phi-2,48,48,48,48,0,0,0,0,0,48
bithacks,llamafile_dolphin-2.7-mixtral,4,4,4,0,0,0,4,0,0,4
bithacks,llamafile_dolphin-2.7-mixtral,9,9,9,0,0,9,0,0,0,9
bithacks,llamafile_dolphin-2.7-mixtral,16,16,16,0,0,0,0,16,0,16
bithacks,llamafile_dolphin-2.7-mixtral,27,27,27,27,0,0,0,0,0,27
bithacks,llamafile_mistral,3,3,3,0,0,0,9,0,0,9
bithacks,llamafile_mistral,4,4,4,0,0,0,0,4,0,4
bithacks,llamafile_mistral,5,5,5,0,0,5,0,5,0,10
bithacks,llamafile_mistral,6,6,6,0,0,6,0,0,0,6
bithacks,llamafile_mistral,8,8,8,0,0,0,0,8,0,8
bithacks,llamafile_mistral,14,14,14,0,0,14,0,0,0,14
bithacks,llamafile_mistral,34,34,34,34,0,0,0,0,0,34
bithacks,llamafile_mistral,39,39,39,39,0,0,0,0,0,39
bithacks,llamafile_mistral,44,44,44,44,0,0,0,0,0,44
bithacks,llamafile_mixtral,2,2,2,0,0,0,4,0,0,4
bithacks,llamafile_mixtral,12,12,12,0,0,12,0,0,0,12
bithacks,llamafile_mixtral,15,15,15,0,0,15,0,0,0,15
bithacks,llamafile_mixtral,17,17,17,0,0,0,0,17,0,17
bithacks,llamafile_mixtral,19,19,19,0,0,0,0,19,0,19
bithacks,llamafile_mixtral,22,22,22,22,0,0,0,0,0,22
bithacks,llamafile_mixtral,23,23,23,23,0,0,0,0,0,23
bithacks,llamafile_phi3,3,3,3,0,0,0,3,0,0,3
bithacks,llamafile_phi3,5,5,5,0,0,0,0,5,0,5
bithacks,llamafile_phi3,7,7,7,0,0,7,0,0,0,7
bithacks,llamafile_phi3,41,41,41,41,0,0,0,0,0,41
bithacks,ollama_llama3-8b,3,3,3,0,0,0,3,0,0,3
bithacks,ollama_llama3-8b,7,7,7,0,0,7,0,0,0,7
bithacks,ollama_llama3-8b,14,14,14,0,0,0,0,14,0,14
bithacks,ollama_llama3-8b,32,32,32,32,0,0,0,0,0,32
codenet,llamafile_codestral,16,16,16,0,16,0,0,0,0,16
codenet,llamafile_codestral,24,24,24,0,0,0,0,0,24,24
codenet,llamafile_codestral,156,156,156,0,0,156,0,0,0,156
codenet,llamafile_codestral,266,266,266,266,0,0,0,0,0,266
codenet,llamafile_codestral,491,491,491,0,0,0,491,0,0,491
codenet,llamafile_codestral,1447,1447,1447,0,0,0,0,1447,0,1447
codenet,llamafile_dolphin-2.6-mistral,16,16,16,0,64,0,0,0,0,64
codenet,llamafile_dolphin-2.6-mistral,24,24,24,0,0,0,0,0,96,96
codenet,llamafile_dolphin-2.6-mistral,261,261,261,0,0,261,0,0,0,261
codenet,llamafile_dolphin-2.6-mistral,310,310,310,0,0,310,0,0,0,310
codenet,llamafile_dolphin-2.6-mistral,330,330,330,0,0,330,0,0,0,330
codenet,llamafile_dolphin-2.6-mistral,374,374,374,0,0,0,0,374,0,374
codenet,llamafile_dolphin-2.6-mistral,380,380,380,0,0,0,380,0,0,380
codenet,llamafile_dolphin-2.6-mistral,397,397,397,0,0,0,397,0,0,397
codenet,llamafile_dolphin-2.6-mistral,406,406,406,0,0,0,406,0,0,406
codenet,llamafile_dolphin-2.6-mistral,458,458,458,0,0,0,0,458,0,458
codenet,llamafile_dolphin-2.6-mistral,487,487,487,0,0,0,487,0,0,487
codenet,llamafile_dolphin-2.6-mistral,616,616,616,0,0,0,0,616,0,616
codenet,llamafile_dolphin-2.6-mistral,631,631,631,0,0,631,0,0,0,631
codenet,llamafile_dolphin-2.6-mistral,642,642,642,0,0,0,0,642,0,642
codenet,llamafile_dolphin-2.6-mistral,868,868,868,868,0,0,0,0,0,868
codenet,llamafile_dolphin-2.6-mistral,991,991,991,991,0,0,0,0,0,991
codenet,llamafile_dolphin-2.6-mistral,1028,1028,1028,1028,0,0,0,0,0,1028
codenet,llamafile_dolphin-2.6-mistral,1261,1261,1261,1261,0,0,0,0,0,1261
codenet,llamafile_dolphin-2.6-phi-2,16,16,16,0,32,0,0,0,0,32
codenet,llamafile_dolphin-2.6-phi-2,24,24,24,0,0,0,0,0,24,24
