Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,49.743589743589745,14.358974358974358,12.307692307692308,15.897435897435896,0.5128205128205128,0.5128205128205128,15.897435897435896,8.717948717948717,0.5128205128205128,1.5384615384615385,1.5384615384615385,6.666666666666667,8.205128205128204,0.5128205128205128
All,compile,20.51282051282051,72.82051282051282,73.33333333333333,60.0,94.35897435897435,93.33333333333333,60.51282051282051,70.25641025641025,96.41025641025641,94.35897435897435,89.23076923076924,80.0,71.28205128205128,97.94871794871794
All,runtime,26.666666666666668,5.128205128205128,8.205128205128204,18.461538461538463,0.0,0.5128205128205128,19.48717948717949,14.358974358974358,0.5128205128205128,1.0256410256410255,5.128205128205128,6.666666666666667,9.230769230769232,0.0
All,incorrect,3.076923076923077,7.6923076923076925,6.153846153846154,5.641025641025641,5.128205128205128,5.641025641025641,4.102564102564102,6.666666666666667,2.564102564102564,3.076923076923077,4.102564102564102,6.666666666666667,11.282051282051283,1.5384615384615385
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,49.743589743589745,14.358974358974358,12.307692307692308,15.897435897435896,0.5128205128205128,0.5128205128205128,15.897435897435896,8.717948717948717,0.5128205128205128,1.5384615384615385,1.5384615384615385,6.666666666666667,8.205128205128204,0.5128205128205128
codenet,compile,20.51282051282051,72.82051282051282,73.33333333333333,60.0,94.35897435897435,93.33333333333333,60.51282051282051,70.25641025641025,96.41025641025641,94.35897435897435,89.23076923076924,80.0,71.28205128205128,97.94871794871794
codenet,runtime,26.666666666666668,5.128205128205128,8.205128205128204,18.461538461538463,0.0,0.5128205128205128,19.48717948717949,14.358974358974358,0.5128205128205128,1.0256410256410255,5.128205128205128,6.666666666666667,9.230769230769232,0.0
codenet,incorrect,3.076923076923077,7.6923076923076925,6.153846153846154,5.641025641025641,5.128205128205128,5.641025641025641,4.102564102564102,6.666666666666667,2.564102564102564,3.076923076923077,4.102564102564102,6.666666666666667,11.282051282051283,1.5384615384615385
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
