Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,47.179487179487175,12.307692307692308,17.435897435897434,12.82051282051282,3.5897435897435894,7.179487179487179,10.76923076923077,3.076923076923077,7.179487179487179,3.5897435897435894,3.5897435897435894,12.82051282051282,9.230769230769232,1.0256410256410255
All,compile,4.615384615384616,33.33333333333333,33.33333333333333,22.05128205128205,67.6923076923077,67.6923076923077,37.43589743589744,76.41025641025641,71.28205128205128,67.6923076923077,45.64102564102564,62.05128205128205,58.97435897435898,56.41025641025641
All,runtime,45.12820512820513,33.33333333333333,26.153846153846157,28.717948717948715,16.41025641025641,14.358974358974358,32.30769230769231,16.923076923076923,11.794871794871794,14.358974358974358,26.666666666666668,13.846153846153847,18.461538461538463,13.333333333333334
All,incorrect,3.076923076923077,21.025641025641026,23.076923076923077,36.41025641025641,12.307692307692308,10.76923076923077,19.48717948717949,3.5897435897435894,9.743589743589745,14.358974358974358,24.102564102564102,11.282051282051283,13.333333333333334,29.230769230769234
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,47.179487179487175,12.307692307692308,17.435897435897434,12.82051282051282,3.5897435897435894,7.179487179487179,10.76923076923077,3.076923076923077,7.179487179487179,3.5897435897435894,3.5897435897435894,12.82051282051282,9.230769230769232,1.0256410256410255
codenet,compile,4.615384615384616,33.33333333333333,33.33333333333333,22.05128205128205,67.6923076923077,67.6923076923077,37.43589743589744,76.41025641025641,71.28205128205128,67.6923076923077,45.64102564102564,62.05128205128205,58.97435897435898,56.41025641025641
codenet,runtime,45.12820512820513,33.33333333333333,26.153846153846157,28.717948717948715,16.41025641025641,14.358974358974358,32.30769230769231,16.923076923076923,11.794871794871794,14.358974358974358,26.666666666666668,13.846153846153847,18.461538461538463,13.333333333333334
codenet,incorrect,3.076923076923077,21.025641025641026,23.076923076923077,36.41025641025641,12.307692307692308,10.76923076923077,19.48717948717949,3.5897435897435894,9.743589743589745,14.358974358974358,24.102564102564102,11.282051282051283,13.333333333333334,29.230769230769234
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
