Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,45.21531100478469,15.789473684210526,16.267942583732058,11.722488038277511,1.4354066985645932,1.1961722488038278,11.483253588516746,5.023923444976076,2.3923444976076556,3.588516746411483,3.349282296650718,5.741626794258373,8.373205741626794,1.9138755980861244
All,compile,7.894736842105263,49.282296650717704,53.827751196172244,23.444976076555022,82.29665071770334,84.44976076555024,35.645933014354064,82.05741626794259,81.57894736842105,83.01435406698565,42.822966507177036,72.00956937799043,62.44019138755981,49.282296650717704
All,runtime,43.301435406698566,25.358851674641148,20.574162679425836,34.92822966507177,8.61244019138756,6.698564593301436,35.88516746411483,10.76555023923445,12.200956937799043,9.090909090909092,36.84210526315789,11.24401913875598,16.267942583732058,32.77511961722488
All,incorrect,3.588516746411483,9.569377990430622,9.330143540669857,29.904306220095695,7.655502392344498,7.655502392344498,16.985645933014354,2.15311004784689,3.827751196172249,4.30622009569378,16.985645933014354,11.004784688995215,12.918660287081341,16.028708133971293
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,48.1981981981982,22.972972972972975,20.27027027027027,10.81081081081081,0.45045045045045046,0.0,14.414414414414415,9.45945945945946,2.2522522522522523,5.8558558558558556,2.2522522522522523,5.8558558558558556,9.45945945945946,1.8018018018018018
avatar,compile,5.405405405405405,43.24324324324324,52.25225225225225,27.47747747747748,86.93693693693693,89.1891891891892,33.78378378378378,67.56756756756756,84.23423423423422,81.53153153153153,47.74774774774775,79.72972972972973,71.62162162162163,48.1981981981982
avatar,runtime,43.24324324324324,29.72972972972973,21.17117117117117,35.585585585585584,7.207207207207207,5.405405405405405,39.63963963963964,19.81981981981982,11.26126126126126,10.36036036036036,36.03603603603604,8.108108108108109,12.162162162162163,37.38738738738739
avatar,incorrect,3.153153153153153,4.054054054054054,6.306306306306306,26.126126126126124,5.405405405405405,5.405405405405405,12.162162162162163,3.153153153153153,2.2522522522522523,2.2522522522522523,13.963963963963963,6.306306306306306,6.756756756756757,12.612612612612612
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,41.83673469387755,7.653061224489796,11.73469387755102,12.755102040816327,2.5510204081632653,2.5510204081632653,8.16326530612245,0.0,2.5510204081632653,1.0204081632653061,4.591836734693878,5.612244897959184,7.142857142857142,2.0408163265306123
codenet,compile,10.714285714285714,56.12244897959183,55.61224489795919,18.877551020408163,77.04081632653062,79.08163265306123,37.755102040816325,98.46938775510205,78.57142857142857,84.6938775510204,37.244897959183675,63.26530612244898,52.04081632653062,50.51020408163265
codenet,runtime,43.36734693877551,20.408163265306122,19.897959183673468,34.183673469387756,10.204081632653061,8.16326530612245,31.63265306122449,0.5102040816326531,13.26530612244898,7.653061224489796,37.755102040816325,14.795918367346939,20.918367346938776,27.55102040816326
codenet,incorrect,4.081632653061225,15.816326530612246,12.755102040816327,34.183673469387756,10.204081632653061,10.204081632653061,22.448979591836736,1.0204081632653061,5.612244897959184,6.63265306122449,20.408163265306122,16.3265306122449,19.897959183673468,19.897959183673468
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
